Year, Market,  Pool, AmountEmittedOrRetained
18, 301, 207, 23.9633720219805
19, 301, 207, 23.4160478485765
1, 301, 208, 4.7748493529413
2, 301, 208, 5.57148656770552
3, 301, 208, 6.80302715691459
4, 301, 208, 6.76009696839009
5, 301, 208, 8.29593080400742
6, 301, 208, 8.24323946820328
7, 301, 208, 8.18603951063449
8, 301, 208, 8.1113437444065
9, 301, 208, 10.2201928851211
10, 301, 208, 10.1978687252227
11, 301, 208, 10.1040545869489
12, 301, 208, 10.0111034812143
13, 301, 208, 9.91900746864883
14, 301, 208, 9.82775868291965
15, 301, 208, 9.73734933005947
16, 301, 208, 9.6477716878007
17, 301, 208, 9.55901810491585
18, 301, 208, 9.47108100056405
19, 301, 208, 9.38395286364353
1, 301, 209, 23.3812529307908
2, 301, 209, 20.6041004343752
3, 301, 209, 20.4216260420475
4, 301, 209, 14.4578029415428
5, 301, 209, 17.572392800308
6, 301, 209, 12.4507074212761
7, 301, 209, 8.92056502138667
8, 301, 209, 6.30833688683935
9, 301, 209, 15.2419952151135
10, 301, 209, 11.0496352509105
11, 301, 209, 7.81327201555676
12, 301, 209, 5.52481762545527
13, 301, 209, 3.90663600777838
14, 301, 209, 2.76240881272763
15, 301, 209, 1.95331800388919
16, 301, 209, 1.38120440636382
17, 301, 209, 0.976659001944595
18, 301, 209, 0.690602203181908
19, 301, 209, 0.488329500972297
1, 301, 210, 8.28113022245016
2, 301, 210, 9.58925323448085
3, 301, 210, 11.6407044138544
4, 301, 210, 11.4643799818193
5, 301, 210, 14.028644222463
6, 301, 210, 13.8160467767178
7, 301, 210, 13.5986320259833
8, 301, 210, 13.3538911363728
9, 301, 210, 16.8993540507348
10, 301, 210, 16.7182350132328
11, 301, 210, 16.4160468908736
12, 301, 210, 16.1193209277209
13, 301, 210, 15.8279583932788
14, 301, 210, 15.5418623416407
15, 301, 210, 15.2609375792319
16, 301, 210, 14.9850906331363
17, 301, 210, 14.7142297199941
18, 301, 210, 14.4482647154629
19, 301, 210, 14.1871071242304
1, 300, 200, 3.69693863013647
2, 300, 200, 3.35521501588078
3, 300, 200, 3.70101580138853
4, 300, 200, 2.69371886449461
5, 300, 200, 3.51384620874086
6, 300, 200, 2.58794654931708
7, 300, 200, 1.84020947653061
8, 300, 200, 1.30370488275957
9, 300, 200, 2.55596485137225
10, 300, 200, 2.00144725427652
11, 300, 200, 1.41523692568612
12, 300, 200, 1.00072362713826
13, 300, 200, 0.707618462843062
14, 300, 200, 0.50036181356913
15, 300, 200, 0.353809231421531
16, 300, 200, 0.250180906784565
